time	blank	anc1	anc2	anc3	anc4	anc5	anc6	anc7	anc8	anc9	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
1320	0.12784	1.30622	1.37946	1.38412	1.35354	1.33448	1.32444	1.30018	1.3002	1.31574	1.55972	1.58944	1.36836	1.43104	1.5454	1.58138	1.4524	1.49282	1.5588	1.5827	1.3498	1.45448	1.39016	1.44202	1.22666	1.253	1.35418	1.41894	1.39886	1.34908	1.0836	1.08384	1.06784	1.10458	0.92864	0.89854	1.14646	1.17334	0.9304	0.91782
1350	0.1279	1.33474	1.40772	1.41198	1.384	1.36548	1.35544	1.3311	1.32984	1.34538	1.5802	1.60994	1.39974	1.46082	1.56976	1.6049	1.4724	1.50912	1.57522	1.59396	1.37474	1.4785	1.41086	1.46342	1.25178	1.279	1.38084	1.4446	1.42024	1.36964	1.10464	1.10554	1.08676	1.12318	0.94828	0.91978	1.16186	1.18946	0.949	0.9357
1380	0.12784	1.36118	1.43448	1.43802	1.41068	1.3937	1.3826	1.36032	1.3571	1.37138	1.59122	1.6211	1.42884	1.48886	1.58558	1.62002	1.48526	1.51812	1.5836	1.5996	1.39616	1.49732	1.42778	1.4783	1.27598	1.3027	1.40346	1.46672	1.43616	1.38734	1.12304	1.12404	1.10478	1.14186	0.96836	0.93798	1.17654	1.20526	0.96506	0.95246
1410	0.12774	1.38514	1.4593	1.46178	1.43752	1.42004	1.40914	1.3873	1.38278	1.39688	1.5977	1.62756	1.4577	1.5165	1.59704	1.62998	1.49278	1.5239	1.58824	1.6034	1.41252	1.51088	1.43882	1.48878	1.29658	1.32454	1.42102	1.48452	1.449	1.40014	1.14182	1.14362	1.12444	1.16074	0.98654	0.95648	1.1921	1.22024	0.98078	0.96982
1440	0.12774	1.40902	1.48342	1.48586	1.46172	1.44468	1.43448	1.41308	1.4085	1.42192	1.60166	1.63098	1.48254	1.54186	1.60284	1.63642	1.49784	1.52828	1.5912	1.60608	1.42308	1.52116	1.4478	1.49684	1.31602	1.3441	1.43422	1.49634	1.45764	1.41088	1.15872	1.16218	1.14252	1.17854	1.00622	0.97692	1.20516	1.23434	0.99646	0.9878
1470	0.1278	1.43242	1.50552	1.50912	1.48632	1.46988	1.45898	1.4373	1.4327	1.44656	1.60446	1.63404	1.50036	1.55758	1.60728	1.64008	1.50096	1.53118	1.5937	1.60826	1.43168	1.52736	1.45318	1.50202	1.33118	1.3602	1.4434	1.5044	1.46304	1.41814	1.17396	1.17714	1.15864	1.19304	1.02414	0.9976	1.2164	1.2461	1.01228	1.00486
1500	0.12784	1.45292	1.52648	1.52886	1.50882	1.49286	1.48258	1.46138	1.45578	1.46934	1.60728	1.63596	1.51136	1.56814	1.6098	1.64262	1.50352	1.53266	1.59534	1.60986	1.43776	1.53234	1.45744	1.5059	1.3415	1.37228	1.45076	1.50966	1.46794	1.42258	1.1865	1.1913	1.1718	1.20468	1.04056	1.01688	1.22646	1.25504	1.02902	1.02088
1530	0.1278	1.46996	1.5418	1.54456	1.52748	1.51344	1.5033	1.4821	1.47638	1.48852	1.60818	1.63704	1.51842	1.57458	1.61142	1.64394	1.50524	1.53454	1.5969	1.61056	1.44208	1.53578	1.4608	1.50934	1.34876	1.38148	1.45468	1.51394	1.472	1.427	1.19618	1.20092	1.18136	1.21468	1.05438	1.03332	1.23308	1.26252	1.04164	1.0345
1560	0.12784	1.48106	1.55338	1.55456	1.54252	1.52984	1.52038	1.50032	1.4934	1.50418	1.609	1.63816	1.52336	1.57888	1.61258	1.6452	1.5069	1.53638	1.59778	1.61168	1.44582	1.53854	1.4631	1.51134	1.35556	1.38824	1.45846	1.51704	1.4737	1.43022	1.20328	1.20894	1.18966	1.22268	1.06586	1.04612	1.23762	1.26678	1.05392	1.04654
1590	0.12774	1.4885	1.56054	1.56132	1.5527	1.5413	1.53242	1.513	1.50568	1.51528	1.6099	1.63858	1.5262	1.58172	1.6131	1.6459	1.50784	1.537	1.5985	1.61164	1.4478	1.54034	1.46522	1.51302	1.36044	1.39222	1.46068	1.51942	1.47624	1.43226	1.20916	1.21526	1.19552	1.2284	1.07452	1.05736	1.2422	1.27158	1.06418	1.05584
1620	0.12774	1.49322	1.56516	1.56618	1.55904	1.54946	1.5407	1.52184	1.51388	1.5223	1.61042	1.63944	1.52848	1.58388	1.61424	1.64686	1.50922	1.53848	1.5991	1.6128	1.44982	1.54198	1.46696	1.51456	1.36334	1.39578	1.4627	1.5213	1.47748	1.43386	1.21428	1.2202	1.20118	1.23314	1.08224	1.06662	1.24484	1.27462	1.07228	1.0641
1650	0.12786	1.49702	1.56776	1.56826	1.56284	1.5546	1.54558	1.52718	1.51948	1.52754	1.61082	1.63972	1.53014	1.58554	1.61496	1.64766	1.51004	1.53946	1.60016	1.6131	1.45186	1.54344	1.46796	1.51562	1.3658	1.39894	1.46446	1.52264	1.47914	1.43588	1.21804	1.22516	1.2052	1.23668	1.08762	1.07412	1.24744	1.2775	1.07934	1.07122
1680	0.12772	1.49952	1.57056	1.57014	1.56502	1.55758	1.54892	1.53098	1.52294	1.53094	1.6114	1.6402	1.53174	1.58666	1.61566	1.64782	1.51064	1.5399	1.60022	1.61302	1.45304	1.54466	1.47004	1.5168	1.36824	1.4017	1.46568	1.52452	1.48044	1.43686	1.2213	1.22778	1.20878	1.23944	1.0934	1.08004	1.24942	1.28038	1.08602	1.07636
1710	0.12774	1.50108	1.57194	1.57158	1.56702	1.55962	1.55152	1.53346	1.5258	1.5338	1.61166	1.6407	1.53278	1.58818	1.61558	1.64782	1.5118	1.54068	1.59998	1.61464	1.4545	1.54558	1.471	1.51804	1.37022	1.40376	1.4677	1.52522	1.48102	1.43802	1.2236	1.23124	1.21146	1.24172	1.09762	1.0851	1.2513	1.28192	1.0899	1.08184
1740	0.1278	1.50272	1.57402	1.5727	1.56848	1.56156	1.55322	1.53544	1.52834	1.53548	1.61288	1.64066	1.53412	1.58882	1.61592	1.64822	1.51246	1.5417	1.6012	1.61434	1.45564	1.5467	1.47176	1.5189	1.3715	1.40564	1.46794	1.52544	1.48236	1.43952	1.2263	1.23348	1.21358	1.24394	1.10186	1.08978	1.25354	1.2842	1.09444	1.08654
1770	0.12778	1.50368	1.57468	1.57346	1.56976	1.56264	1.55442	1.53716	1.52984	1.53682	1.61286	1.64144	1.53486	1.58942	1.6161	1.64862	1.51348	1.54242	1.60124	1.6148	1.45668	1.54756	1.47204	1.51946	1.37368	1.40738	1.46908	1.527	1.483	1.43974	1.22726	1.23548	1.2165	1.24586	1.10464	1.09334	1.2544	1.28566	1.09776	1.08966
1800	0.12774	1.50478	1.5757	1.57428	1.57096	1.56374	1.55596	1.53816	1.5312	1.53788	1.61306	1.6413	1.5358	1.58994	1.61642	1.64906	1.51436	1.5431	1.60208	1.61528	1.45798	1.54822	1.47338	1.5203	1.37542	1.40874	1.46986	1.52752	1.48372	1.44076	1.22976	1.23724	1.21838	1.24804	1.10712	1.0964	1.2557	1.28686	1.1005	1.0929
1830	0.12772	1.5055	1.57634	1.57538	1.57112	1.5647	1.55688	1.53896	1.5318	1.53946	1.61328	1.64176	1.5359	1.58988	1.61664	1.6488	1.51452	1.5438	1.6024	1.61538	1.45884	1.549	1.4739	1.52108	1.37628	1.40962	1.47096	1.5287	1.4845	1.44158	1.23108	1.23932	1.22022	1.24986	1.11032	1.0993	1.25692	1.28858	1.10358	1.09632
1860	0.12786	1.5063	1.57708	1.57574	1.57162	1.56546	1.558	1.53974	1.53288	1.53958	1.61356	1.64168	1.53716	1.59136	1.61754	1.6497	1.51516	1.54424	1.60278	1.61584	1.45954	1.54958	1.47494	1.52228	1.37806	1.41134	1.4723	1.52894	1.48576	1.44262	1.2334	1.24148	1.22234	1.25222	1.11362	1.10306	1.25912	1.28972	1.10716	1.09954
1890	0.1279	1.50724	1.57794	1.57694	1.57234	1.56624	1.5587	1.54112	1.5339	1.54096	1.61428	1.64206	1.53736	1.59148	1.61744	1.6498	1.51628	1.54526	1.60318	1.6159	1.46052	1.55012	1.47592	1.52278	1.37854	1.4121	1.47314	1.52962	1.4865	1.44338	1.23408	1.2423	1.22292	1.25316	1.11498	1.10442	1.26006	1.29154	1.10856	1.10034
1920	0.12774	1.5071	1.5777	1.57632	1.57248	1.56644	1.55912	1.54106	1.5344	1.54136	1.61384	1.64206	1.5373	1.5918	1.6176	1.65004	1.51672	1.5455	1.6034	1.61594	1.46122	1.55118	1.47738	1.52338	1.37982	1.41444	1.47344	1.53038	1.4859	1.4449	1.23576	1.24522	1.2251	1.25466	1.11762	1.1084	1.2618	1.29298	1.11174	1.10294
